
서칭뷰 키워드그룹 : 회차별 키워드셋
조회일자:20260325

! 각 키워드 그룹에 속한 세부키워드 리스트입니다.
! 조회 시점에 입찰개시일이 도래하였으며 아직 집행시작 전인 리스트에 대해서만 조회가 가능합니다.

! 세부키워드 리스트는 집행 회차별로 변경될 수 있습니다.

집행회차,집행기간,대분류,소분류,키워드그룹,세부키워드
202615,20260406~20260412,가구/인테리어,가구,책상및책장,책상서랍
202615,20260406~20260412,가구/인테리어,가구,책상및책장,책상선반
202615,20260406~20260412,가구/인테리어,가구,책상및책장,책상세트
202615,20260406~20260412,가구/인테리어,가구,책상및책장,책상유리
202615,20260406~20260412,가구/인테리어,가구,책상및책장,책상인테리어
202615,20260406~20260412,가구/인테리어,가구,책상및책장,책상정리
202615,20260406~20260412,가구/인테리어,가구,책상및책장,책상정리용품
202615,20260406~20260412,가구/인테리어,가구,책상및책장,책상정리함
202615,20260406~20260412,가구/인테리어,가구,책상및책장,책상책꽂이
202615,20260406~20260412,가구/인테리어,가구,책상및책장,책상칸막이
202615,20260406~20260412,가구/인테리어,가구,책상및책장,책상파티션
202615,20260406~20260412,가구/인테리어,가구,책상및책장,책장
202615,20260406~20260412,가구/인테리어,가구,책상및책장,책장DIY
202615,20260406~20260412,가구/인테리어,가구,책상및책장,책장선반
202615,20260406~20260412,가구/인테리어,가구,책상및책장,책장수납박스
202615,20260406~20260412,가구/인테리어,가구,책상및책장,책장제작
202615,20260406~20260412,가구/인테리어,가구,책상및책장,책장주문제작
202615,20260406~20260412,가구/인테리어,가구,책상및책장,철재책장
202615,20260406~20260412,가구/인테리어,가구,책상및책장,철제책장
202615,20260406~20260412,가구/인테리어,가구,책상및책장,특이한디자인책장
202615,20260406~20260412,가구/인테리어,가구,책상및책장,파티션책장
202615,20260406~20260412,가구/인테리어,가구,책상및책장,학교스탠딩책상
202615,20260406~20260412,가구/인테리어,가구,책상및책장,회전책장
202615,20260406~20260412,가구/인테리어,가구,침대및매트리스,1인용매트리스
202615,20260406~20260412,가구/인테리어,가구,침대및매트리스,1인용접이식침대
202615,20260406~20260412,가구/인테리어,가구,침대및매트리스,1인용침대
202615,20260406~20260412,가구/인테리어,가구,침대및매트리스,2층침대
202615,20260406~20260412,가구/인테리어,가구,침대및매트리스,3단매트리스
202615,20260406~20260412,가구/인테리어,가구,침대및매트리스,3단접이식매트리스
