
신제품검색 키워드그룹 : 최근낙찰가
조회일자:20260526

! 각 키워드 그룹의 조회 시점 기준으로 가장 최근에 결과가 발표된 정기입찰 건의 낙찰가 입니다.

대분류,소분류,키워드그룹,최근낙찰가
금융,예치/저축상품,적금,1300000
금융,예치/저축상품,정기적금,100000
금융,저축성보험,연금보험,320000
금융,저축성보험,연금저축보험,140000
금융,저축성보험,저축보험,180000
금융,카드,신용카드,8200000
금융,투자상품,2차전지ETF,560000
금융,투자상품,CMA,710000
금융,투자상품,ETF,3210000
금융,투자상품,IMA,100000
금융,투자상품,IPO,1170000
금융,투자상품,ISA,1580000
금융,투자상품,RIA,720000
금융,투자상품,금ETF,310000
금융,투자상품,로봇ETF,530000
금융,투자상품,바이오ETF,210000
금융,투자상품,반도체ETF,1330000
금융,투자상품,방산ETF,500000
금융,투자상품,에너지ETF,100000
금융,투자상품,원유ETF,100000
금융,투자상품,원자력ETF,300000
금융,투자상품,은ETF,120000
금융,투자상품,채권,300000
금융,투자상품,펀드,440000
기타,명품,명품가방,770000
기타,명품,명품귀걸이,810000
기타,명품,명품목걸이,2160000
기타,명품,명품반지,1100000
기타,명품,명품백팩,100000
기타,명품,명품벨트,100000
기타,명품,명품샌들,100000
기타,명품,명품스니커즈,100000
기타,명품,명품시계,1950000
기타,명품,명품신발,100000
기타,명품,명품에코백,100000
기타,명품,명품운동화,100000
기타,명품,명품지갑,100000
기타,명품,명품팔찌,1370000
기타,명품,명품패딩,100000
기타,명품,여성명품가방,130000
기타,패션잡화,가발,200000
기타,패션잡화,남자가발,100000
도서,도서,동화,220000
도서,도서,만화책,120000
도서,도서,산문,100000
도서,도서,소설,390000
도서,도서,시,680000
도서,도서,에세이,160000
도서,도서,전래동화,100000
도서,도서,책,680000
도서,도서,초점책,100000
도서,도서,컬러링북,100000
생활/가정,건강용품,가정용좌욕기,100000
생활/가정,건강용품,거북목교정기,210000
생활/가정,건강용품,금연보조제,100000
생활/가정,건강용품,내성발톱교정기,160000
생활/가정,건강용품,동전파스,100000
생활/가정,건강용품,목견인기,230000
생활/가정,건강용품,목교정기,100000
생활/가정,건강용품,무릎보호대,1430000
생활/가정,건강용품,무지외반증교정기,180000
생활/가정,건강용품,발가락교정기,160000
생활/가정,건강용품,발목보호대,420000
생활/가정,건강용품,소음방지귀마개,100000
생활/가정,건강용품,손목보호대,620000
생활/가정,건강용품,수면안대,270000
생활/가정,건강용품,안대,140000
생활/가정,건강용품,어깨교정밴드,100000
생활/가정,건강용품,엘보보호대,100000
생활/가정,건강용품,온열안대,340000
생활/가정,건강용품,이어플러그,110000
생활/가정,건강용품,자세교정밴드,100000
생활/가정,건강용품,좌욕기,230000
생활/가정,건강용품,팔꿈치보호대,240000
생활/가정,건강용품,허리보호대,350000
생활/가정,건강용품,휠체어,290000
생활/가정,건강측정용품,가정용혈압계,280000
생활/가정,건강측정용품,비접촉체온계,100000
생활/가정,건강측정용품,산소포화도측정기,100000
생활/가정,건강측정용품,스마트체중계,100000
생활/가정,건강측정용품,임신테스트기,220000
생활/가정,건강측정용품,체온계,190000
생활/가정,건강측정용품,체중계,390000
생활/가정,건강측정용품,체지방체중계,100000
생활/가정,건강측정용품,혈압계,660000
생활/가정,공구,가정용방역소독기,100000
생활/가정,공구,고용량멀티탭,330000
생활/가정,공구,공구함,130000
생활/가정,공구,구루마,310000
생활/가정,공구,그라인더,190000
생활/가정,공구,농약분무기,390000
생활/가정,공구,멀티탭,680000
생활/가정,공구,멀티탭정리함,100000
생활/가정,공구,방수스프레이,100000
생활/가정,공구,방수페인트,180000
생활/가정,공구,방역소독기,100000
생활/가정,공구,사다리,670000
생활/가정,공구,송풍기,200000
생활/가정,공구,에어건,330000
생활/가정,공구,예초기,350000
생활/가정,공구,오일스테인,170000
생활/가정,공구,온도계,110000
생활/가정,공구,온습도계,130000
생활/가정,공구,이사박스,160000
생활/가정,공구,전동드릴,330000
생활/가정,공구,제설제,100000
생활/가정,공구,카트,260000
생활/가정,공구,하수구트랩,380000
생활/가정,공구,휴대용소화기,100000
생활/가정,문구/사무용품,NFC단말기,100000
생활/가정,문구/사무용품,네임스티커,320000
생활/가정,문구/사무용품,다이어리,270000
생활/가정,문구/사무용품,데스크매트,110000
생활/가정,문구/사무용품,만년필,260000
생활/가정,문구/사무용품,무선카드단말기,210000
생활/가정,문구/사무용품,볼펜,190000
생활/가정,문구/사무용품,사진앨범,110000
생활/가정,문구/사무용품,생일초,100000
생활/가정,문구/사무용품,스터디플래너,110000
생활/가정,문구/사무용품,애플페이단말기,100000
생활/가정,문구/사무용품,입간판,180000
생활/가정,문구/사무용품,전자칠판,110000
생활/가정,문구/사무용품,초음파앨범,160000
생활/가정,문구/사무용품,카드단말기,530000
생활/가정,문구/사무용품,코팅기,110000
생활/가정,문구/사무용품,키오스크,940000
생활/가정,문구/사무용품,테이블오더,870000
생활/가정,문구/사무용품,파티용품,100000
생활/가정,문구/사무용품,포스기,330000
생활/가정,문구/사무용품,플래너,100000
생활/가정,미용/위생용품,가글,160000
생활/가정,미용/위생용품,각질제거기,100000
생활/가정,미용/위생용품,고불소치약,140000
생활/가정,미용/위생용품,고체치약,100000
생활/가정,미용/위생용품,교정기세정제,100000
생활/가정,미용/위생용품,구강스프레이,130000
생활/가정,미용/위생용품,구강청결제,210000
생활/가정,미용/위생용품,면도기,400000
생활/가정,미용/위생용품,미백치약,240000
생활/가정,미용/위생용품,미세모칫솔,100000
생활/가정,미용/위생용품,발각질제거기,320000
생활/가정,미용/위생용품,불소치약,170000
생활/가정,미용/위생용품,생리대,650000
생활/가정,미용/위생용품,생리컵,100000
생활/가정,미용/위생용품,성인용기저귀,130000
생활/가정,미용/위생용품,셀프치석제거기,100000
생활/가정,미용/위생용품,소독스프레이,100000
생활/가정,미용/위생용품,손소독스프레이,100000
생활/가정,미용/위생용품,손소독제,100000
생활/가정,미용/위생용품,손소독티슈,100000
생활/가정,미용/위생용품,시린이치약,100000
생활/가정,미용/위생용품,유기농생리대,100000
생활/가정,미용/위생용품,입는생리대,100000
생활/가정,미용/위생용품,입는오버나이트,150000
생활/가정,미용/위생용품,잇몸치약,140000
생활/가정,미용/위생용품,치실,290000
생활/가정,미용/위생용품,치아미백치약,100000
생활/가정,미용/위생용품,치약,1750000
생활/가정,미용/위생용품,칫솔,540000
생활/가정,미용/위생용품,탐폰,210000
생활/가정,미용/위생용품,틀니세정제,100000
생활/가정,미용/위생용품,팬티라이너,220000
생활/가정,미용/위생용품,프로폴리스치약,100000
생활/가정,미용/위생용품,휴대용손소독제,100000
생활/가정,반려동물,강아지간식,380000
